--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------

NOTES:  Run output sample:
        - Testing quick sort and its elapsed time over various array sizes and recursion limits.
        - Time totals are of average of running each case three times.
--------------------------------------------------------------------------------------------------------


============= Quick Sort for Array Size: 20000 =============

Recursions #: 44  |  Elapsed Time:   0 sec : 146 ms : 834621 ns = 146834621 ns
Recursions #: 46  |  Elapsed Time:   0 sec : 146 ms : 563188 ns = 146563188 ns
Recursions #: 48  |  Elapsed Time:   0 sec : 148 ms : 782264 ns = 148782264 ns
Recursions #: 50  |  Elapsed Time:   0 sec : 156 ms : 880049 ns = 156880049 ns
Recursions #: 52  |  Elapsed Time:   0 sec : 164 ms : 667566 ns = 164667566 ns
Recursions #: 54  |  Elapsed Time:   0 sec : 164 ms : 223162 ns = 164223162 ns
Recursions #: 56  |  Elapsed Time:   0 sec : 169 ms : 928136 ns = 169928136 ns
Recursions #: 58  |  Elapsed Time:   0 sec : 167 ms : 759132 ns = 167759132 ns
Recursions #: 60  |  Elapsed Time:   0 sec : 157 ms : 203965 ns = 157203965 ns
Recursions #: 62  |  Elapsed Time:   0 sec : 157 ms : 724808 ns = 157724808 ns
Recursions #: 64  |  Elapsed Time:   0 sec : 167 ms : 823467 ns = 167823467 ns
Recursions #: 66  |  Elapsed Time:   0 sec : 176 ms : 954908 ns = 176954908 ns
Recursions #: 68  |  Elapsed Time:   0 sec : 166 ms : 796772 ns = 166796772 ns
Recursions #: 70  |  Elapsed Time:   0 sec : 176 ms : 414950 ns = 176414950 ns
Recursions #: 72  |  Elapsed Time:   0 sec : 186 ms : 892116 ns = 186892116 ns
Recursions #: 74  |  Elapsed Time:   0 sec : 181 ms : 686031 ns = 181686031 ns
Recursions #: 76  |  Elapsed Time:   0 sec : 192 ms : 470512 ns = 192470512 ns
Recursions #: 78  |  Elapsed Time:   0 sec : 182 ms : 752718 ns = 182752718 ns
Recursions #: 80  |  Elapsed Time:   0 sec : 181 ms : 894433 ns = 181894433 ns
Recursions #: 82  |  Elapsed Time:   0 sec : 172 ms : 696828 ns = 172696828 ns
Recursions #: 84  |  Elapsed Time:   0 sec : 189 ms : 210977 ns = 189210977 ns
Recursions #: 86  |  Elapsed Time:   0 sec : 197 ms : 730110 ns = 197730110 ns
Recursions #: 88  |  Elapsed Time:   0 sec : 194 ms : 458632 ns = 194458632 ns
Recursions #: 90  |  Elapsed Time:   0 sec : 194 ms : 812906 ns = 194812906 ns
Recursions #: 92  |  Elapsed Time:   0 sec : 191 ms : 784278 ns = 191784278 ns
Recursions #: 94  |  Elapsed Time:   0 sec : 192 ms : 253100 ns = 192253100 ns
Recursions #: 96  |  Elapsed Time:   0 sec : 201 ms : 82931 ns = 201082931 ns
Recursions #: 98  |  Elapsed Time:   0 sec : 205 ms : 414056 ns = 205414056 ns
Recursions #: 100  |  Elapsed Time:   0 sec : 202 ms : 315906 ns = 202315906 ns
Recursions #: 102  |  Elapsed Time:   0 sec : 201 ms : 67328 ns = 201067328 ns
Recursions #: 104  |  Elapsed Time:   0 sec : 210 ms : 958800 ns = 210958800 ns
Recursions #: 106  |  Elapsed Time:   0 sec : 204 ms : 850219 ns = 204850219 ns
Recursions #: 108  |  Elapsed Time:   0 sec : 204 ms : 830733 ns = 204830733 ns
Recursions #: 110  |  Elapsed Time:   0 sec : 211 ms : 834353 ns = 211834353 ns
Recursions #: 112  |  Elapsed Time:   0 sec : 211 ms : 380509 ns = 211380509 ns
Recursions #: 114  |  Elapsed Time:   0 sec : 222 ms : 382678 ns = 222382678 ns
Recursions #: 116  |  Elapsed Time:   0 sec : 213 ms : 546325 ns = 213546325 ns
Recursions #: 118  |  Elapsed Time:   0 sec : 216 ms : 286612 ns = 216286612 ns
Recursions #: 120  |  Elapsed Time:   0 sec : 219 ms : 191489 ns = 219191489 ns
